㐁犁,伸犁
該係,那是
該個人,那個人
該儕,那位
該儕人,那個人
該兜,那些
該兜人,那些人
該兩隻,那兩個
該向,那向
該哉,幸虧
該地方,那個地方
該坵,那坵
該埔,那塊
該堆,那堆
該壁,那牆
該外背,那外面
該央時,那時
該央時,那時候
該對,那對
該尞,那玩
該就,那就
該尾,那尾
該年,那一年
該年,那年
該搭仔,那裡
該搭位仔,那裡
該搭啊方,那搭建啊方
該擺,那一次
該擺,那次
該支,那支
該斯,那可是
該斯係,那就是
該方,那方
該日,那一天
該日,那天
該時,那時
該時節,那時
該時節,那時候
該晡日,那申時日
該暢,活該
該條,那條
該樣,那樣
該樣,那種
該樣,那項
該樣,那類
該樹下,那樹下方
該款,那個樣式
該款,那款
該款頭路,那種工作
該死,活該
該死,糟糕
該毋斯,難不成
該滿,那時
該片,那邊
該狐狸,那狐狸
該當,應當
該當,應該
該當時,那時
該當時,那時候
該盤菜脣項,那盤菜旁邊
該種,那種
該種事情,那種事情
該粒,那粒
該粒,那顆
該老个,那老的
該老阿婆,那位老婆婆
該莊,那莊
該袋,那袋
該賊仔走忒咧,那小偷走了咧
該跡位仔,那裡
該載,幸好
該載,幸虧
該載,還好
該邊,那邊
該門,那門
該間,那間
該間屋,那間
該陣仔,那陣子
該隻,那個
該隻店,那個店
該項,那裡
該項,那邊
該項个,那裡的
該頭,那一頭
該頭,那頭
該頭次,那頭次
詳細,仔細
詳細,完備
誅毋避貴,誅不避貴
誇大毋實,誇大不實
誇強講會,誇強說會
誌之毋忘,誌之不忘
認,辨認
認份,守份
認份,安份
認分,守本分
認字,識字
認真,認真的
認真个先生,黃麗芬
認著,認出
誐腦,稱讚
誓死毋二,誓死不二
誓死毋屈,誓死不屈
誓毋兩立,誓不兩立
誓毋甘休,誓不甘休
誕罔毋經,誕罔不經
誚㸐,嘲笑譏刺
誚㸐,嘲諷
誚誚㸐㸐,冷言冷語
語毋投機,語不投機
語毋擇人,語不擇人
語毋驚人,語不驚人
語焉毋詳,語焉不詳
誤事,誤解
誦經,唸經
誦背,背誦
誦講,誦說
誦讀,朗讀
誨人毋倦,誨人不倦
誨爾諄諄，聽𠊎藐藐,誨爾諄諄，聽我藐藐
誨而毋倦,誨而不倦
說人,稱說
說到企起來,讚譽有加
誼毋容辭,誼不容辭
調問,拷問
調單,徵集令
調羹仔,湯匙
調轉去,調回去
諄諄毋倦,諄諄不倦
談古講今,談古說今
談天講地,談天說地
談情講愛,談情說愛
談毋上,談不上
談毋攏,談不攏
談空講有,談空說有
談經講法,談經說法
請人,請客
請你莫見怪,請你不要見怪
請問上姓,請問貴姓
請問阿伯上姓,請問老伯貴姓
請問高鐵車頭仰仔行,請問高鐵車站怎麼走
請安,問候
請將毋如激將,請將不如激將
請教,請益
請等一下𠊎黏時過來,請稍等我馬上過來
請較早兜仔,請早點
論今講古,論今說古
論斷,推論
論起真來,真正說來
諢詞細說,諢詞小說
諷刺,浪洗
謀人,算計人
謀便,求方便
謀圖毋軌,謀圖不軌
謀忒,殺掉
謀為毋軌,謀為不軌
謀逆毋軌,謀逆不軌
謀頭路,籌劃事業
謏聞淺講,謏聞淺說
謔而毋虐,謔而不虐
講,說
講一係一,說一是一
講一係一，講二係二,說一是一，說二是二
講一毋二,說一不二
講三分,說三分
講三毋接兩,說三不接兩
講三講四,說三說四
講不得,說不得
講个比唱个好聽,說的比唱的好聽
講也奇怪,說也奇怪
講事,說事
講事過錢,說事過錢
講人人到，講鬼鬼到,說人人到，說鬼鬼到
講人情,說人情
講什麼也毋能,說什麼也不能
講今道古,說今道古
講來,說來
講來話長,說來話長
講做就做,說做就做
講價,討價還價
講價,議價
講公案,說公案
講兵機,說兵機
講分,說給
講分上,說分上
講到,說到
講到,說起
講到,談起
講到做到,說到做到
講到嘴滑,說得口乾舌爛
講到曹操，曹操就到,說到曹操，曹操就到
講到臘卵,說得圓滿無缺
講到食粥,說得很容易
講動,說動
講化,說化
講千講萬,以千萬論
講千講萬,說千說萬
講去講轉,說來說去
講參請,說參請
講口,說口
講古,說古
講古,說故事
講古,說書
講古,講故事
講古談今,說古談今
講合,說合
講合了蓋兒了,說合了蓋兒了
講和,和解
講和,說和
講唱,說唱
講唱文學,說唱文學
講啊著,一說到
講喊,講叫
講嗄,講卻
講嘴打嘴,說嘴打嘴
講嘴郎中無好藥,說嘴郎中無好藥
講四句,說吉祥話
講地談天,說地談天
講士,說士
講夢,說夢
講大話使細錢,說大話使小錢
講天缺,誇口
講天講地,說天說地
講太平話兒,說太平話兒
講好,說好
講好講歹,說好說歹
講媒,說媒
講學逗唱,說學逗唱
講定,說定
講客,說客
講家克計,說家克計
講寡嘴,說寡嘴
講岔,說岔
講帖,說帖
講得來,說得來
講得直了伙食,白費脣舌
講得著,說得著
講得過去,說得過去
講得響,說得響
講徹,說徹
講忒,講完
講念,說念
講情,說情
講戒,說戒
講撇,講完
講故事,說故事
講教,說教
講文,說文
講方便,說方便
講是談非,說是談非
講時遲，那時快,說時遲，那時快
講書人,說書人
講服,說服
講服力,說服力
講東談西,說東談西
講東道西,說東道西
講正經,說真的
講毋上,說不上
講毋上來,說不上來
講毋下去,說不下去
講毋來,說不來
講毋係,說不是
講毋出,說不出
講毋出,講不出
講毋得,無法形容
講毋得,說不得
講毋正,講不正
講毋清,說不清
講毋盡,說不盡
講毋聽,講不聽
講毋著,講錯
講毋過,說不過
講毋過去,說不過去
講法,說法
講泛,說泛
講海口,說海口
講淡話,說淡話
講清話,說清話
講清道白,說清道白
講溜了嘴,說溜了嘴
講滿話,說滿話
講演,演講
講演比賽,演講比賽
講漦講濞,扯東扯西
講煞,說完
講狂話,說夢話
講理,說理
講白,說白
講白了,說白了
講白來,坦白說
講白道綠,說白道綠
講白道黑,說白道黑
講相聲,說相聲
講看啊,聊聊
講真格个,說真格的
講瞎話,說瞎話
講短論長,說短論長
講短道長,說短道長
講短長,說短長
講矮話,說矮話
講破,說破
講破嘴,說破嘴
講穿,說穿
講章兒,說章兒
講笑,說笑
講笑,說笑話
講笑,開玩笑
講經,說經
講經講法,講經說法
講耍,說耍
講舌,說舌
講花蓼,說謊
講花蓼,說謊話
講落,說落
講落去,講下去
講著,提到
講著,說到
講著,說起
講著,談起
講著玩兒,說著玩兒
講處,說處
講親,說親
講親,說親事
講親道熱,說親道熱
講詞,說詞
講話,說話
講話个,說話的
講話人,說話人
講話兒,說話兒
講話恁直白,講話這麼直
講話答禮兒,說話答禮兒
講話算話,說話算話
講該,說那
講調,說調
講論,談論
講諢話,說諢話
講講笑笑,說說笑笑
講講道道,說說道道
講起,提起
講起,說起
講起來,說起來
講辭,說辭
講過,說過
講道,說道
講部,說部
講鈴,說鈴
講鐵騎兒,說鐵騎兒
講長短,說長短
講長短,講是非
講長論短,說長論短
講長講短,說長說短
講長道短,說長道短
講開,說開
講閒話,說閒話
講閒話兒,說閒話兒
講隻童話,講個童話
講雞胲,講誇大
講雞胲仔,吹牛
講雞胲仔,誇大
講雞胲仔,說大話
講雞胲仔,說話浮誇不實
講雨談雲,說雨談雲
講響話,說響話
講項,說項
講頭兒,說頭兒
講頭就知尾,舉一反三
講頭知尾,舉一反三
講風涼話,說風涼話
講風話,說風話
講風講水,說風說水
講鬼話,亂說話
講鬼話,說鬼話
講麼,說什麼
講麼个,說什麼
講黃道黑,說黃道黑
講黑道白,說黑道白
講鼓書,說鼓書
謬悠之講,謬悠之說
謹細慎微,謹小慎微
謹謹仔,謹慎小心
謾上毋謾下,謾上不謾下
譎而毋正,譎而不正
識,曾
識,曾經
識,認得
識,認識
識來,曾經來
識去,曾經去
識字,認得字
識有,曾經有
識看過,曾看過
識聽人講,曾經聽人說
識見過,曾看過
識講起,曾說起
識講過,曾說過
譚天講地,譚天說地
警察仔,警察
警察會捉賊仔,警察將要抓小偷
譫哆,閒聊
譫誃,閒聊
議員係用選个,議員是使用選的
議毋反顧,議不反顧
譴,生氣
譴到噼腦筋,生氣到噼腦筋
譴到齧牙,生氣到磨牙
譴呰呰仔,生氣
譴呰呰仔,負氣
譴死,氣死
譴粄,湯粢
譴著,氣到
譴責細說,譴責小說
護目,護眼
護髮霜,護髮乳
讀大戇書,讀死書
讀書,念書
讀書愛認真,讀書要認真
讀毋捨手,讀不捨手
讀無,沒念
讀著,讀到
變做,成為
變做,變成
變到,變得
變到,變成
變動毋居,變動不居
變化毋測,變化不測
變幻毋測,變幻不測
變形,形變
變撇,變完
變樣,變形
變毋出花樣,變不出花樣
變毋轉,變不回
變緪,變緊
變著,變成
變面,翻臉
變鬼變怪,耍手段
變鬼變怪,耍花樣
變鬼變怪,變花樣
讓一毋讓二,讓一不讓二
讓分人,折換給人
讓嘴,讓給他人吃
讓身仔,整個身子投入
讚毋絕口,讚不絕口
豁忒,丟掉
豆乳,豆漿
豆乳店,豆漿店
豆乾,豇豆乾
豆仔,豆子
豆仔,骰子
豆枝,豆棗
豆油,醬油
豆油膏,醬油膏
豆粥,菜豆稀飯
豆腐乾,豆乾
豆腐伯姆,賣豆腐的婦人
豆腐皮,豆皮
豆腐石,豆腐岩
豆腐肩鴨嫲蹄,身體軟弱
豆腐花,豆花
豆豉眼,內斜視
豆魚肉卵類,豆魚肉蛋類
豈正,豈只
豈毋,豈不
豈毋係,豈不是
豈毋知,怎會不知
豈毋知,豈不知
豎子毋足與謀,豎子不足與謀
豐原項,豐原裡
豐富个文化內涵,豐富的文化內涵
豐富个經驗,豐富的經驗
豐沛,豐富
豐沛,豐盛
豐湧,富有
豐湧,富裕
豐湧,豐裕
豐田莊頭,豐田庄頭
豐豐沛沛,很豐盛
豚肩毋揜豆,豚肩不揜豆
象仔,大象
象仔,象
象徵著,象徵等
象杞樹,樹杞
象棋樹,樹杞
豪放毋羈,豪放不羈
豪爽,不拘小節
豪邁毋群,豪邁不群
豬仔,豬
豬八戒食人參果,豬八戒吃人參果
豬利,豬舌頭
豬利頭,豬舌頭
豬哥,公的種豬
豬哥,好色之徒
豬哥仙,好色男
豬哥搭狗膦,牛頭不對馬嘴
豬哥牙,乳牙未脫
豬嫲,母豬
豬嫲瘵,癲癇
豬嫲瘵,羊癲瘋
豬嫲肉,母豬肉
豬子,小豬
豬寮,養豬場
豬小肚,豬膀胱
豬尾,豬尾巴
豬屎,豬便
豬屎,豬糞
豬接杓,接嘴
豬接杓,插嘴
豬接杓,搶嘴說話
豬接杓,搶話題
豬旺仔,豬血
豬旺紅鳥,普通朱雀
豬欄,豬圈
豬欄,豬舍
豬欄,養豬場
豬欄棚項,豬圈裡
豬欄棚項,豬圈裡面
豬欄肚,豬圈裡
豬母乳,馬齒莧
豬油粕,豬油糟粕
豬牯仔,小公豬
豬牸仔,小母豬
豬狗毋如,豬狗不如
豬砧,豬肉攤
豬竇,豬窩
豬竇肚,豬圈裡
豬篼,豬槽
豬籃仔,豬籠
豬粉腸,粉腸
豬紅,豬血
豬耳公,豬耳朵
豬肉擔,豬肉攤
豬肉粥,豬肉稀飯
豬肚湯,肚片湯
豬肝色,棕色
豬肝色,赭色
豬胚,小豬
豬腰仔,豬的腎臟
豬腰仔,豬腎
豬腰仔,豬腰
豬腰仔,豬腰子
豬腳筋,豬蹄筋
豬腸炒薑絲,薑絲大腸
豬菜,番薯葉
豬菜草,伏苓菜
豬菜草,土茯苓
豬販仔,豬販
豬食,豬吃
豬首,豬頭
豬髀,豬腿
豺淨淨,吃光光
豺牯,貪吃的人
豺蟲,蛔蟲
豺食,貪吃
貂毋足，狗尾續,貂不足，狗尾續
貌事,承包工作
貌係情非,貌是情非
貌毋驚人,貌不驚人
貌毋驚人，言毋壓眾,貌不驚人，言不壓眾
貌頭,承包商
貓仔,貓
貓仔,貓咪
貓兒竹,孟宗竹
貓公,公貓
貓子,小貓
貓徙竇,貓常搬家
貓扡粢粑,不容易脫身
貓牯,公貓
貓空流籠,貓空纜車
貓頭鳥,貓頭鷹
貓食生柿子,貓吃生柿子
貝厥係數,貝他係數
貝厥射線,貝他射線
貝厥蛻變,貝他蛻變
貝氏搓牙法,貝氏刷牙法
負固毋悛,負固不悛
負固毋服,負固不服
負擔,背負
財丁兩旺,添丁發財
財上,財往上
財高勢大,有錢有勢
貢貢滾打,打得很大聲
貧富毋均,貧富不均
貧賤之交毋可忘,貧賤之交不可忘
貧賤毋能移,貧賤不能移
貨尾,餘貨
貨比三家毋食虧,貨比三家不吃虧
貨腳仔,餘貨
販仔屋,成屋
販仔屋,新成屋
貪,貪心
貪多嚼毋爛,貪多嚼不爛
貪心毋足,貪心不足
貪細便宜,貪小便宜
貪花好色,貪圖美色
貪著,貪到
貪著,貪圖
貪食,貪吃
貪食懶做,貪吃懶做
責罰,懲罰
貯等,儲存
貯等,存著
貯金,儲蓄
貯金,存款
貯金,存錢
貯金簿,存摺
貯錢,儲蓄
貯錢,存錢
貴府,府上
貴毋凌賤,貴不凌賤
貴毋可言,貴不可言
貴蔘蔘仔,貴得很
貶䟘起來,翻正
貶白,翻白
貶貶忒,翻翻掉
貶車,翻車
貶轉來,翻轉
貶轉來,翻過來
貶過,翻過
貶面,反面
貶面,鬧翻
買,購買
買一个，饒一个,買一個，饒一個
買兜,買些
買票,賄選
買票,購買票
買著,買到
買藥仔,買藥
買賣算分,計價明細
買轉來,買回來
買金偏撞毋著賣金个,買金偏撞不著賣金的
費氣,勞神費力
費氣,費事
費氣,麻煩
貼,黏貼
貼密密,貼緊緊
貼對聯,貼春聯
貼手㬹,賄胳
貼手㬹,賄賂
貼手,賄賂
貼撇,貼完
貼核,貼緊
貼物鏡,接物鏡
貼目鏡,接目鏡
貼示,糾纏示
貼秤頭,補足
貼簝,密合
貼簝,貼緊
貼蓆,緊貼著草蓆
貼貼,一直到
貼貼,很吃緊
貼貼,很慘
貼貼,直到
貼貼,緊貼著
貼門對,貼春聯
貼門紅,貼紅紙
貼黏,糾纏
賁,厚
賁个,厚的
賁底靴,高靴
賁度,厚度
賁皮,皮層很厚
賁皮仔,扁柏
賁紙枋,厚紙板
賁膏法,厚塗法
資源回收桶,資源回收筒
賊仔,小偷
賊婆,女小偷
賊手賊腳,鬼鬼祟祟
賊沒種，正怕哄,賊沒種，只怕哄
賊海鵝,賊鷗
賊牯,小偷
賊牯,男小偷
賊牯仔,小偷
賊目,眼神邪惡
賊目,賊眼
賊眼,眼神邪惡
賊路,歪路
賒,賒欠
賒三毋敵見二,賒三不敵見二
賒到,賒欠到達
賒數,茭白筍
賒數,賒帳
賒欠,賒帳
賜著,賜
賞口飯食,賞口飯吃
賞毋當功,賞不當功
賞毋踰日,賞不踰日
賞毋踰時,賞不踰時
賞毋遺賤,賞不遺賤
賞罰毋信,賞罰不信
賞罰毋明,賞罰不明
賞罰毋當,賞罰不當
賠,虧本
賠,補償損失
賠个毋係,賠個不是
賠命仔,拚命地
賠命仔,賣命地
賠撇,賠掉
賠毋係,賠不是
賠毋起,賠不起
賠淨淨,賠光光
賠細心,賠小心
賢否毋明,賢否不明
賢孝,孝順
賢愚毋分,賢愚不分
賢良,有德性的人
賣个破綻,賣個破綻
賣了了,賣光光
賣忒,賣出去
賣忒,賣掉
賣懶,偷懶
賣撇,賣掉
賣撇去,賣完
賣東西个,賣東西的
賣淨淨,賣光光
賣炭个掉在麵缸裡,賣炭的掉在麵缸裡
賣瓜个毋講瓜苦,賣瓜的不說瓜苦
賣瓜个講瓜甜,賣瓜的說瓜甜
賣繡線个,賣繡線的
賣腰个,賣腰的
賣膏藥个,賣膏藥的
賣豆腐花,賣豆花
賣豬肉个,賣豬肉的
賣賣撇,賣掉
賣雜細,販賣雜貨
賣雜細,賣雜貨
賣雜細个,賣雜貨的
賣食,賣吃的
賣鹽个做雕鑾匠,賣鹽的做雕鑾匠
賤,不值錢
賤,低賤
賤,頑皮
賤手,手賤
賤手賤腳,不守規矩
賤手賤腳,頑皮好動
賤賤,很賤
賤骨頭,不知自重
質个,質的
質而毋俚,質而不俚
質能毋滅定律,質能不滅定律
賭人尋,捉迷藏
賭彩,碰碰運氣
賭彩,碰運氣
賭徼,賭博
賭徼狂,賭博狂
賭毋信,賭不信
賭準,以假替真
賭準,將就將就
賭相輸,打賭
賭胚,揣測
賭胚,猜想
賭腹為婚,指腹為婚
賭膦彩,碰運氣
賭膦造化,碰運氣
賭輸贏,打賭
賭造化,碰運氣
賭錢,賭博
賴人,誣賴
賴人,誣賴人
賴等,賴著
賺打,得不償失
賺有錢,有賺到錢
賺毋著,賺不到
賺毋著來食,沒辦法養活自己
賺痛,自找苦吃
賺痛,自討苦吃
賺皮痛,討打
賺著,賺到
賺賺仔,賺賺
賺食,白吃白喝
賺食,維生
賺食,謀生
賺食嫲,妓女
賺食碗,謀生的工具
賺食細妹,謀生女生
贌屋,租屋
贌田,租田
贏,獲勝
贏著,贏到
贏面,佔優勢
贏面,領先
贖轉來,贖回
赤楠,臺灣赤楠
赤牛,黃牛
赤瓦毋剌海,赤瓦不剌海
赤細豆,赤小豆
赤緊个,赤緊的
赤腳,光腳
赤腳馬踏,赤腳
赤膊激力,赤身裸體
赤膊激力,赤身露體
赤蘭,臺灣赤楠
赤赤,棕紅色
走,跑
走上去,跑上去
走上走下,跑上跑下
走了和尚走毋了廟,走了和尚走不了廟
走來,跑來
走來走去,跑來跑去
走先行,先跑走
走入,溜進
走入去,跑進去
走出,跑出
走出來,跑出來
走出來,顯現
走到,跑到
走到尾瀉屎,嚇得屁滾尿流
走到尾瀉屎,嚇跑了
走動投籃,跑動投籃
走動擲籃,跑動投籃
走去,跑去
走去哪,跑去那裡
走命,逃命
走啊,跑啊
走堂个,走堂的
走報个,走報的
走壘,跑壘
走大水,逃避水患
走往下,往下跑
走得,跑得
走忒,走了
走忒,走掉
走忒,跑掉
走拚拚,跑清理清理
走撇,跑完
走撇,跑掉
走操場五圈,跑操場五圈
走桌,跑堂
走毋去,跑不掉
走毋得,走不開
走毋掣,走避不及
走毋開腳,走不開
走氣,漏氣
走江湖,跑江湖
走淨淨,跑光光
走無路去,走投無路
走當遽,跑得很快
走相逐,賽跑
走相逐,跑步
走種,雜種
走細路子,走小路子
走腕,脫臼
走腥,動物發情
走腳板,傭人
走色,變了顏色
走色,變色
走色,錯色
走色,顏色改變
走街,跑街
走走走,跑跑跑
走走走,離開
走轉來,跑回來
走轉去,跑回去
走追仔,賽跑
走過,跑過
走過䢍,跑過頭
走遠遠,跑遠遠
走醒,發情
走閃,往他處走
走閃,躲開
走黑道兒个,走黑道兒的
赴到,趕上
赴忒,趕完
赴時,及時
赴時赴刻,準時
赴時間,趕時間
赴毋掣,來不及
赴毋掣,趕不上
赴毋掣,遲到
赴毋著,來不及
赴毋著,趕不上
赴毋著,遲到
赴毋著,錯過
赴毋著,錯過了
赴著,趕上
赴車,趕往乘車
赴車,趕車
赴餐,趕上用餐
起,建造
起一隻󿕅,腫一個包
起个風暴,乍起的風暴
起伏毋平,起伏不平
起價,漲價
起先,起初
起到,建到
起到,蓋到
起勢,起始
起勢,開始
起勢,開頭
起大價,價格飆漲
起大樓,建大樓
起大樓,建造大樓
起好,建好
起好,蓋好
起學堂,建學校
起學堂,建造學校
起寒毛菇,起雞皮疙瘩
起居,生活作息
起屋,蓋房子
起工,開工
起工廠,興建工廠
起性,發性
起性,發狂
起戇面,使性子
起戇面,翻臉
起手,出手
起手,拿出
起榼,開工
起水膘,起水泡
起波,起泡沫
起波,起泡泡
起海龍,海嘯
起濛紗煙,起霧
起火,生火
起火,點火
起瘻,產生腫塊
起瘻,起腫塊
起碼,至少
起磅,勃起
起磅,磅秤桿翹起
起福,祈福
起稿,擬草稿
起空起榫,惹事生非
起空起榫,造謠生事
起童,跳動作法
起肩,上肩
起胮,紅腫
起腳走,用力快跑
起膘,起水泡
起草,擬草稿
起落去,起進去
起著,起到
起譴,生氣
起譴,發怒
起赤痧,兩眼充血
起起,建起
起起,蓋起
起身,出發
起身,起床
起身,起程
起過,建過
起過,蓋過
起過,重建
起雷追,孩童使性子
起頭,初始
起頭,源起
起頭,開端
起頭,開頭
起風,颳風
起首,開頭
起骨,撿骨
起魯夫,發作粗暴行為
起鱸鰻,發作粗暴行為
起鼓,打喪鼓
起鼓,表演開始
起鼓,開場
起鼓,開始
起鼓,鬧喪鼓
起鼓,鳴鼓
趁人毋備,趁人不備
超三界外，毋在五行中,超三界外，不在五行中
超然毋群,超然不群
超過,勝過
超過,越過
超過,逾越
超過,逾越了標準
越勢,越加
越少越好,越少越愛
越磬越低,越彎越低
越至,越加
越越个,越越的
趑趄毋前,趑趄不前
趕事,趕工
趕人毋要趕上,趕人不要趕上
趕後生,趁年輕
趕得,能趕
趕早,盡早
趕早,趁早
趕毋上趟,趕不上趟
趕毋及,趕不及
趕燒,趁熱
趕燒趕熱,打鐵趁熱
趕緊,急忙著
趕腳个,趕腳的
趕車个,趕車的
趖來趖去,爬來爬去
趖啊趖,慢吞吞
趖啊趖仔,拖啊拖的
趖啊趖仔,爬啊爬的
趖趖,爬爬
趖遠遠,爬遠遠
趙毋肖,趙不肖
趜力,暗中使力
趜四六,裝模作樣
趜外外,漠不關心
趜屎,傲慢不理人
趜屎砰天,傲氣沖天
趜心事,積怨在心中
足月,滿月
足毋出門,足不出門
足毋踰戶,足不踰戶
足足,分量足夠
足足,整整
足足,足夠
跁跁走,四處遊走
跁跁走,趴趴走
跈,跟
跈,跟隨
跈上,跟上
跈上來,跟上來
跈上去,跟上去
跈上跈下,跟上跟下
跈人走,私奔
跈人走,跟人跑
跈住,跟住
跈來,跟來
跈到,跟到
跈前,跟前
跈去,跟去
跈得,趕得
跈得,跟得
跈得上,跟得上
跈得著,跟上
跈得著,跟得上
跈從,跟從
跈會,跟互助會
跈會,跟會
跈毋著,跟不上
跈班,跟班
跈球,跟球
跈監,跟監
跈等,接著
跈等,跟著
跈等,跟踪
跈等,跟隨
跈等,馬上
跈等來,馬上來
跈等去,馬上去
跈等又同杯仔,馬上又把杯子
跈等就變到,馬上就變得
跈腳,跟腳
跈著,跟上
跈著,跟著
跈著𠊎,跟著我
跈蹤,跟蹤
跈進,跟進
跈進來,跟進來
跈頭,跟頭
跋,爬
跋䟘來,爬起來
跋䟘來,爬起身來
跋䟘起來,爬起來
跋上來,爬上來
跋上跋下,爬上爬下
跋啊,爬啊
跋啊起,爬起
跋山,爬山
跋崎,爬坡
跋毋起,爬不起來
跋竹篙,爬竿
跋腳,拔腿
跋起,拔起
跋起,爬起
跋起腳,拔腿
跌下,掉下
跌下來,掉下來
跌下來,跌落
跌下𪘒,胡說
跌下𪘒,胡說八道
跌了彈个斑鳩,跌了彈的斑鳩
跌價,價錢下降
跌價,減價
跌到,掉到
跌到,跌得
跌去,掉去
跌失人,得罪人
跌宕毋羈,跌宕不羈
跌宕毋群,跌宕不群
跌崁,高低落差
跌巖,地平落差
跌忒,掉了
跌忒,遺失
跌撇,掉了
跌撇,遺失
跌水,屋簷
跌水,滴水
跌無筊,擲筊沒得到肯定答案
跌筊,擲筊
跌筊仔,擲筊
跌罪,得罪
跌罪,觸怒
跌罪人,得罪人
跌聖筊,擲筊
跌聖筊,擲筊以卜吉凶
跌落,掉下
跌落去,掉下去
跌落去,掉進去
跌落去,跌進
跌落去,跌進去
跌著,跌倒
跌蕩毋羈,跌蕩不羈
跌陣,脫隊
跌齾,刻度落差
跍,蹲
跍下來,蹲下來
跍核,掉了
跍核,遺失
跍等,蹲著
跏跏九九,長而彎曲
跏跏糾糾,彎彎曲曲
跏跏糾糾,彎曲
跑了和尚跑毋了廟,跑了和尚跑不了廟
跑堂兒个,跑堂兒的
跑毋了,跑不了
跑馬朗朗,輕快愉悅
跔做,縮成
跔跔蜍蜍,畏縮不前
跔轉來,縮回來
跛腳,瘸腿
跛腳个,跛腳的
跛腳仔,跛子
跛跛,一拐一拐
跟緪,跟緊
跣淨淨,脫光光
跪,跪下
跪等,跪著
跪等人,跪著人
跪落去,跪下去
跪跪磕磕,求人
跪跪磕磕,請託
路巷,路上
路徑頭,路中間
路程,行程
路脣,路旁
路脣,路邊
路脣方,路邊
路見毋平,路見不平
路見毋平，也有向燈向火,路見不平，也有向燈向火
路見毋平，拔刀相助,路見不平，拔刀相助
路見毋平，拔劍相助,路見不平，拔劍相助
路路毋通,路路不通
路頂,路上
路項,路上
路項搖,路上搖
路頭,路的起點
路頭,路程
路頭路尾,整條路上
路頭路尾,路前路後
路頭遠,路途遙遠
路頭遠,路途遠
路頭長,路途遠
路頭長,路途長遠
路頭項,路的起點上
路頭項,路程上
跳上跌落,跳上跳下
跳呀跳仔,跳呀跳的
跳圓圈仔,跳圈兒
跳在黃河洗毋清,跳在黃河洗不清
跳格仔,跳格子
跳梁細丑,跳梁小丑
跳樹奶仔,跳橡皮筋
跳毋下來,跳不下來
跳童,乩童作法
跳等,跳著
跳索仔,跳繩
跳落,跳下
跳落下遮,跳傘
跳落去,跳下去
跺著,踏到
跺著,踩到
跼揫來,收齊來
跼等,圈住
跼等,關著
跼起來,關起來
跼蹐毋安,跼蹐不安
跼雞鴨,把雞鴨關住
跼雞鴨,關雞鴨
踅走,傾斜
踅踅,斜斜不正
踅踅,立不正
踏出踏入,來回走著
踏出踏入,出出入入
踏出踏入,躊躇不定
踏到,踩到
踏碓,踩舂
踏細板凳兒糊險道神,踏小板凳兒糊險道神
踏著,踩到
踐車仔,踩車使動
踜蹭,踉蹌
踢球仔,踢球
踢著,踢到
踢雞毛球,踢毽子
踢雞毛錢仔,踢毽子
踣踣滾,人馬雜遝
踣踣跌,常跌倒
踧踖毋安,踧踖不安
踩踩踏踏,猶疑不決
踩踩踏踏,猶言躑躅
踩踩踏踏,猶豫
踩踩踏踏,躑躅
蹀蹀,小孩學走路
蹀躞毋下,蹀躞不下
蹇食,蹇吃
蹍前,提前
蹍腳毋歇,無法駐足
蹖上跌落,忙裡忙外
蹛哪位,住哪兒
蹤跡,蹤影
蹦猋,跳腳
蹦跳,跳腳
蹬腳,跺腳
蹬開,踹開
蹳,擺動
蹶,攀爬
蹶,攀登
蹶來食,謀生辛苦
蹶壁,束手無策
蹶山,爬山
蹶山,登山
蹶得上來,爬得上來
蹶日蹶夜,整天爬
蹺痀,駝背
躁光,煩躁不安
躁光蟲,起得早的小孩
躁火,上火氣
躁躁,煩躁不安
躁躁轉,繁忙
躊躇毋決,躊躇不決
躍上去,一躍而上
躍上躍下,跳上跳下
躍入,躍進
躡腳尾,提起跟
躪,踩踏
身,套
身在福中毋知福,身在福中不知福
身孕,懷孕
身家,出身
身家,家業
身家,背景
身家,財產
身屍,屍體
身屍骨頭,屍骨
身屍骨頭末,無稽之談
身手毋凡,身手不凡
身材,個子
身毋由主,身不由主
身毋由己,身不由己
身毋遇時,身不遇時
身胚,身軀
身胚仔,個子
身腳,肢體
身項,身上
身項,身孕
身體康健萬事如意,身體健康萬事如意
躲得和尚躲毋得寺,躲得和尚躲不得寺
躲毋了,躲不了
躲毋掉,躲不掉
車仔,車子
車仔,車輛
車仔工廠,車輛工廠
車單,車票
車夫,駕駛
車嫲,車掌小姐
車子,火車車廂
車子,車廂
車布脣,車布邊
車廂肚,車廂裡
車廂裡背,車廂裡面
車心,車軸
車打車,整車整車的
車牌,站牌
車牌,車輛牌照
車衫褲,縫製衣服
車衫褲,車衣服
車路,車道
車路,道路
車輪仔,車輪
車輪坑莊頭,車輪坑庄頭
車錢,車費
車錢幾多,車費多少
車頂,車上
車頭,車站
軟入入仔,很軟
軟冰,冰淇淋
軟弱,孱弱
軟心,心軟
軟怠怠,有氣無力
軟怠怠,無力
軟怠怠仔,有氣無力
軟摺摺仔,軟趴趴的
軟毋叮噹,軟不叮噹
軟硬毋食,軟硬不吃
軟粢搭碓,非常軟
軟粢貼碓,軟綿綿的
軟紮紮,軟綿綿
軟習習仔,軟綿綿的
軟聲軟斗,低聲下氣
軟聲軟斗,輕聲細語
